timestamp,longitude_m,latitude_m
79028,-54.732292,-52.818221
79228,-55.068399,-53.039600
79428,-55.213326,-53.371669
79628,-55.324333,-53.639168
79828,-55.537098,-53.949099
80029,-55.635772,-54.255340
80229,-55.985754,-54.458271
80429,-56.027382,-54.865977
80629,-56.432869,-55.065218
80829,-56.826021,-55.327183
81030,-56.789018,-55.709062
81230,-57.296262,-55.821597
81430,-57.427312,-56.380579
81630,-57.673996,-56.517096
81830,-58.158113,-56.708957
82031,-58.235202,-57.018888
82231,-58.458759,-57.258715
82431,-58.807200,-57.581560
82631,-59.018423,-57.860128
82831,-59.345279,-58.011404
83032,-59.454745,-58.463386
83232,-59.826312,-58.520576
83432,-60.130041,-58.741955
83632,-60.216381,-59.175489
83832,-61.677982,-59.286178
84033,-61.932375,-59.631161
84233,-62.085010,-59.828557
84433,-62.388740,-60.020419
84633,-62.666259,-60.258401
84833,-62.781892,-60.544349
85034,-63.093330,-60.778642
85234,-63.301470,-61.011090
85434,-63.578989,-61.177124
85634,-63.725457,-61.407727
85834,-64.110901,-61.415107
86035,-64.386878,-61.697365
86235,-64.497886,-61.933503
86435,-64.792365,-62.134589
86635,-64.904914,-62.385485
86835,-65.060633,-62.695415
87036,-65.385947,-62.914950
87236,-65.521623,-63.119725
87436,-65.711262,-63.383535
87636,-65.819186,-63.767259
87836,-66.051994,-63.877948
88037,-66.295594,-64.043983
88237,-66.286343,-64.385275
88437,-66.651743,-64.422172
88637,-66.816713,-64.730258
88837,-66.759668,-64.984844
89038,-68.531165,-65.879584
89238,-68.726971,-66.230101
89438,-68.811768,-66.368463
89638,-68.965946,-66.551100
89838,-69.103163,-66.805686
90039,-69.220338,-66.855496
90239,-69.480898,-67.193099
90439,-69.613490,-67.228151
90639,-69.689037,-67.307479
90839,-69.906427,-67.729944
91040,-69.961931,-67.672754
91240,-70.193197,-68.067547
91440,-70.257952,-68.263098
91640,-70.389002,-68.285236
91840,-70.589433,-68.659736
92041,-70.691190,-68.792563
92241,-70.762112,-68.969666
92441,-70.851535,-69.207649
92641,-70.990294,-69.275907
92841,-71.110553,-69.600596
93042,-71.193808,-69.606131
93242,-71.310983,-69.788769
93442,-71.417365,-69.954803
93642,-71.486745,-69.923441
93842,-71.684092,-70.209389
94043,-71.808976,-70.382802
94243,-71.947736,-70.264733
94443,-72.003239,-70.524854
94643,-72.171293,-70.602337
94843,-71.412740,-70.301630
95044,-71.423533,-70.225992
95244,-71.821310,-70.355130
95444,-71.869105,-70.550681
95644,-72.003239,-70.487957
95844,-72.158959,-70.705647
96045,-71.964695,-70.871681
96245,-72.202128,-70.784974
96445,-72.109622,-70.930715
96645,-72.179002,-70.877215
96845,-72.448812,-70.923336
97046,-72.436478,-70.963922
97246,-72.629199,-70.951008
97446,-72.888217,-71.058008
97646,-73.091731,-70.930715
97846,-73.521886,-70.853233
98048,-73.500301,-70.867991
98248,-73.942790,-70.665061
98448,-74.249603,-70.548837
98648,-74.417657,-70.583888
